Tempo (us) 	 Tensione (V)
-88.195521	-0.002283
-88.179521	0.000311
-88.163521	-0.000055
-88.147521	0.001807
-88.131521	-0.001306
-88.115521	-0.000909
-88.099521	0.000311
-88.083521	-0.002161
-88.067521	-0.001184
-88.051521	0.000952
-88.035521	0.000555
-88.019521	-0.002893
-88.003521	-0.000787
-87.987521	-0.001062
-87.971521	-0.001917
-87.955521	0.000677
-87.939521	0.001318
-87.923521	0.000800
-87.907521	-0.003046
-87.891521	-0.002771
-87.875521	0.001929
-87.859521	0.000433
-87.843521	-0.001184
-87.827521	-0.000055
-87.811521	-0.000665
-87.795521	0.001196
-87.779521	-0.002283
-87.763521	0.000952
-87.747521	-0.002161
-87.731521	-0.002161
-87.715521	-0.000055
-87.699521	0.000800
-87.683521	0.001440
-87.667521	-0.000787
-87.651521	-0.002405
-87.635521	-0.000543
-87.619521	0.003668
-87.603521	-0.001917
-87.587521	-0.002161
-87.571521	0.000433
-87.555521	-0.000909
-87.539521	-0.002161
-87.523521	0.003790
-87.507521	0.000189
-87.491521	-0.001795
-87.475521	-0.002771
-87.459521	-0.001795
-87.443521	-0.002161
-87.427521	-0.006372
-87.411521	-0.002527
-87.395521	0.000311
-87.379521	-0.001428
-87.363521	-0.002771
-87.347521	-0.000299
-87.331521	-0.000421
-87.315521	0.002051
-87.299521	0.001929
-87.283521	-0.001062
-87.267521	-0.003778
-87.251521	-0.001550
-87.235521	-0.002893
-87.219521	0.002295
-87.203521	-0.001062
-87.187521	0.000433
-87.171521	-0.003412
-87.155521	0.001562
-87.139521	-0.000909
-87.123521	0.000555
-87.107521	-0.001672
-87.091521	0.000800
-87.075521	-0.002039
-87.059521	0.001318
-87.043521	-0.002771
-87.027521	-0.001428
-87.011521	-0.000177
-86.995521	0.001685
-86.979521	-0.001550
-86.963521	-0.002039
-86.947521	-0.000543
-86.931521	0.004035
-86.915521	-0.002405
-86.899521	-0.001306
-86.883521	-0.002283
-86.867521	-0.001184
-86.851521	0.001196
-86.835521	-0.003046
-86.819521	-0.004633
-86.803521	0.000067
-86.787521	-0.000055
-86.771521	-0.001428
-86.755521	-0.000055
-86.739521	-0.000665
-86.723521	-0.001184
-86.707521	-0.002649
-86.691521	-0.001062
-86.675521	-0.003290
-86.659521	0.002173
-86.643521	-0.001550
-86.627521	-0.001428
-86.611521	-0.003290
-86.595521	0.001074
-86.579521	-0.002161
-86.563521	-0.001917
-86.547521	0.000677
-86.531521	-0.001795
-86.515521	0.000189
-86.499521	0.000677
-86.483521	0.000800
-86.467521	0.000311
-86.451521	-0.001062
-86.435521	0.000800
-86.419521	-0.000665
-86.403521	-0.002283
-86.387521	-0.000543
-86.371521	0.001807
-86.355521	0.000067
-86.339521	0.000555
-86.323521	-0.003046
-86.307521	-0.001306
-86.291521	-0.003046
-86.275521	-0.002527
-86.259521	-0.000787
-86.243521	0.000952
-86.227521	-0.003168
-86.211521	0.001196
-86.195521	-0.000909
-86.179521	0.001929
-86.163521	-0.001184
-86.147521	0.000800
-86.131521	-0.001795
-86.115521	0.000067
-86.099521	-0.002283
-86.083521	0.001685
-86.067521	-0.003046
-86.051521	-0.005274
-86.035521	-0.002527
-86.019521	0.001440
-86.003521	0.004035
-85.987521	-0.000421
-85.971521	-0.001550
-85.955521	-0.000177
-85.939521	-0.002771
-85.923521	-0.000177
-85.907521	0.001196
-85.891521	-0.000055
-85.875521	-0.001795
-85.859521	-0.000665
-85.843521	-0.000177
-85.827521	0.000800
-85.811521	-0.001184
-85.795521	0.001685
-85.779521	-0.001672
-85.763521	-0.002405
-85.747521	0.001318
-85.731521	0.000311
-85.715521	0.000067
-85.699521	-0.005152
-85.683521	-0.001306
-85.667521	-0.000177
-85.651521	-0.003656
-85.635521	-0.001550
-85.619521	0.000189
-85.603521	-0.000787
-85.587521	-0.000665
-85.571521	0.003302
-85.555521	-0.000421
-85.539521	-0.000177
-85.523521	-0.002161
-85.507521	-0.002771
-85.491521	0.000800
-85.475521	-0.000299
-85.459521	-0.000787
-85.443521	0.000189
-85.427521	-0.004144
-85.411521	-0.000543
-85.395521	-0.004511
-85.379521	-0.004022
-85.363521	0.000189
-85.347521	-0.003046
-85.331521	-0.000421
-85.315521	0.002173
